id,suite,title,severity,priority,type,preconditions,steps,expected_result,post_actions,data,attachments,status,related_e2
EP-CU04-02,CU-04 Escalamiento SLA,Ticket con actividad reciente NO escala,high,medium,Negativo,"Ambiente ENT-004 staging; TKT-0081 Incidente Crítico creado hace 16 min nivel=L1; existe comentario sobre el ticket hace 5 min (lastActivityAt < SLA); job listo para disparo manual","1. Verificar lastActivityAt del ticket | 2. Disparar job | 3. GET /tickets/TKT-0081 | 4. GET /tickets/TKT-0081/history y verificar que NO hay ESCALATED posterior","nivel=L1 sin cambios; último evento sigue siendo el comentario; logs del job muestran TKT-0081 con razón SKIPPED: recent activity","Registrar en Qase; mantener ticket sin nuevos comentarios","Trigger manual del job",,Not executed,TI-104
EP-CU04-03,CU-04 Escalamiento SLA,Escalamiento máximo se detiene en L3,high,medium,Borde,"Ambiente ENT-004 staging; TKT-0082 Incidente Crítico nivel=L3 sin actividad reciente; job listo para disparo","1. Disparar job | 2. GET /tickets/TKT-0082 | 3. GET /tickets/TKT-0082/history","nivel=L3 (no L4); evento ESCALATION_CAP_REACHED con escalamientoMaximoAlcanzado=true; logs del job muestran SKIPPED: max level reached; notificación al admin con subject [TKT-0082] Escalamiento máximo alcanzado","Drenar Mailpit; registrar en Qase","Trigger manual del job",docs/mockups/07_escalamiento_sla.png,Not executed,TU-006
EP-CU05-01,CU-05 Historial,Timeline ordenado cronológicamente,high,medium,Camino feliz,"Ambiente ENT-004 staging; TKT-0090 con 5 eventos sembrados: TICKET_CREATED T0, TICKET_ASSIGNED T0+2m, COMMENT_ADDED T0+5m, COMMENT_ADDED T0+10m, RESOLVED T0+45m; agente1 autenticado","1. GET /tickets/TKT-0090/history | 2. Verificar orden autores y timestamps | 3. Verificar formato UTC (Z al final)","200 OK con array de exactamente 5 eventos; events[0]=TICKET_CREATED, events[4]=RESOLVED; timestamps en orden ascendente; cada evento incluye autor, timestamp, description","Registrar en Qase","JWT agente1",docs/mockups/06_historial.png,Not executed,"TI-026, TUAT-005, TE2E-005, TU-018"
EP-CU05-02,CU-05 Historial,UPDATE directo sobre evento es bloqueado,critical,high,Negativo / seguridad,"Ambiente ENT-003 dev shared o ENT-004 staging; TKT-0091 con al menos 1 evento; acceso admin a RDS con tester_admin con permisos UPDATE","1. Intentar PUT /events/<eventoId> vía cliente HTTP | 2. Intentar UPDATE SQL directo en ticket_events | 3. GET /tickets/TKT-0091/history y verificar que contenido no cambió","PUT devuelve 405 Method Not Allowed o 404; UPDATE SQL devuelve error de trigger prevent_update_ticket_events (ImmutableEventError); eventos intactos con descripciones originales","Revisar logs de auditoría CloudTrail/pgAudit; registrar en Qase","SQL: UPDATE ticket_events SET description='alterado' WHERE id=<eventoId>; vía API: PUT /events/<eventoId>",,Not executed,"TU-015, TSEC RBAC + inmutabilidad"
EP-CU05-03,CU-05 Historial,Adjuntos del historial accesibles vía URL prefirmada,high,medium,Borde,"Ambiente ENT-004 staging; TKT-0092 con evento que referencia tickets/2026/05/adjunto.png en S3; usuario autorizado (autor o agente)","1. GET /tickets/TKT-0092/history | 2. Extraer URL prefirmada del evento con adjunto | 3. GET a la URL sin auth y verificar archivo | 4. Esperar 310 s | 5. Repetir GET a la misma URL","Paso 3 devuelve 200 OK con binario y Content-Type correcto; URL contiene X-Amz-Expires=300; paso 5 devuelve 403 Forbidden de S3 por firma expirada","Registrar en Qase (escenario consume ~6 min reales)","JWT del usuario; TTL configurado URLs prefirmadas: 300 s",,Not executed,"TI-080, TI-081, TU-010, TU-011"
EP-CU06-01,CU-06 Filtrado cola,Filtros combinados estado + prioridad + agente,high,high,Camino feliz,"Ambiente ENT-004 staging con dataset semilla de 200 tickets variados; usuario con rol Agente o Admin autenticado","1. GET /tickets?estado=EnProgreso&prioridad=Alta&assignee=agente1@galileo.gt&limit=20 | 2. Verificar que cada item cumple las 3 condiciones | 3. Validar que limit=20 se respeta | 4. Hacer página 2 si nextCursor presente","200 OK; todos los items con estado=EnProgreso, prioridad=Alta, assignee=agente1; items.length <= 20; nextCursor coherente","Registrar en Qase","Query: ?estado=EnProgreso&prioridad=Alta&assignee=agente1@galileo.gt&limit=20",docs/mockups/02_cola_tickets.png,Not executed,"TI-060, TI-061, TI-062, TUAT-006, TE2E-006"
EP-CU06-02,CU-06 Filtrado cola,Reportante solo ve sus tickets (RBAC),critical,high,Error controlado / RBAC,"Ambiente ENT-004 staging; reportante3@galileo.gt con 3 tickets propios TKT-0100/0101/0102; dataset general con 100 tickets ajenos","1. GET /tickets sin filtros (con JWT del reportante) | 2. Conteo del array | 3. GET /tickets/<TKT-de-otro> con id ajeno","Paso 1 devuelve exactamente 3 items todos con reporterId=reportante3; paso 3 devuelve 403 o 404 consistente con política IDOR","Registrar en Qase; confirmar evento denegación en CloudWatch","JWT de reportante3",,Not executed,"TI-064, TU-009, TSEC IDOR"
EP-CU06-03,CU-06 Filtrado cola,Latencia P95 menor a 2s con 10k tickets,critical,high,Rendimiento,"Ambiente ENT-004 staging con 10000 tickets vía Faker; índices creados en tickets(estado, prioridad) y tickets(assignee_id); k6 >= 0.50","1. Ejecutar k6 run scripts/load/cu06.js | 2. Recoger reporte HTML/JSON | 3. Leer http_req_duration P95","k6 exit code 0; P95 < 2000 ms (criterio CU-06); tasa de error HTTP < 1%; sin slow query warnings en RDS","Archivar reporte k6; registrar en Qase con adjunto; drenar conexiones si fuera necesario","Script k6 con 100 VUs durante 60 s; query: ?estado=Abierto&prioridad=Alta","scripts/load/cu06.js, docs/evidencias/EP-CU06-03-k6.html",Not executed,"TI-063, TC-001"
EP-CU07-01,CU-07 Reporte período,Administrador descarga reporte mensual en CSV,medium,medium,Camino feliz,"Ambiente ENT-004 staging con dataset mayo/2026 (al menos 50 tickets resueltos); admin1 autenticado; reglas de cálculo del reporte deployadas","1. GET /reports?from=2026-05-01&to=2026-05-31&format=csv | 2. Verificar headers de respuesta | 3. Descargar CSV | 4. Validar columnas y un total contra script independiente","200 OK con Content-Type text/csv y Content-Disposition attachment; CSV con columnas agente, categoria, total_resueltos, tiempo_promedio_resolucion_min, cumplimiento_sla_pct; totales coinciden con query SQL de verificación","Archivar CSV en docs/evidencias/EP-CU07-01-reporte.csv; registrar en Qase","Query: ?from=2026-05-01&to=2026-05-31&format=csv","docs/mockups/08_reportes.png, docs/evidencias/EP-CU07-01-reporte.csv",Not executed,"TUAT-007, TE2E-007, TU-017"
EP-CU07-02,CU-07 Reporte período,Agente NO puede descargar reporte global (RBAC),critical,high,Error controlado / RBAC,"Ambiente ENT-004 staging; agente1 autenticado","1. GET /reports?from=2026-05-01&to=2026-05-31&format=csv con JWT del agente | 2. Leer código y body","403 Forbidden con ROLE_NOT_ALLOWED role=Agente action=download_global_report; ningún CSV en el body; evento de denegación en CloudWatch","Registrar en Qase","JWT agente1; query: ?from=2026-05-01&to=2026-05-31&format=csv",,Not executed,"TSEC RBAC, TI-024 (extensión), TU-007"
EP-CU07-03,CU-07 Reporte período,Reporte con rango vacío devuelve CSV con headers,low,low,Borde,"Ambiente ENT-004 staging con rango histórico sin tickets (ene/2025 antes del go-live); admin1 autenticado","1. GET /reports?from=2025-01-01&to=2025-01-31&format=csv | 2. Descargar y abrir CSV | 3. Contar filas","200 OK (no 404); CSV con exactamente 1 línea (headers) y 0 filas de datos; headers idénticos a EP-CU07-01","Registrar en Qase","Query: ?from=2025-01-01&to=2025-01-31&format=csv",,Not executed,TUAT-007 (extensión)
EP-CU08-01,CU-08 Solicitud servicio,Solicitud aparece solo en cola de solicitudes,medium,medium,Camino feliz,"Ambiente ENT-004 staging; reportante autenticado","1. POST /tickets con body Data; capturar id=TKT-N | 2. GET /tickets?tipo=Solicitud y verificar que TKT-N aparece | 3. GET /tickets?tipo=Incidente y verificar que TKT-N NO aparece","201 Created con tipo=Solicitud; cola Solicitud contiene TKT-N; cola Incidente NO contiene TKT-N","Limpiar ticket en próximo re-seed; registrar en Qase","Cuerpo: { tipo: Solicitud, severidad: Media, titulo: ""Acceso a repositorio interno"", descripcion: ""Requiero permisos de lectura al repo X"" }",docs/mockups/04_crear_solicitud.png,Not executed,"TI-002, TUAT-008, TE2E-008"
EP-CU08-02,CU-08 Solicitud servicio,Tipo inválido devuelve 422,high,high,Error controlado,"Ambiente ENT-004 staging; reportante autenticado","1. POST /tickets con body Data | 2. Leer código y body","422 Unprocessable Entity con code=INVALID_TYPE y allowedValues=[Incidente, Solicitud]; ningún registro persistido","Registrar en Qase","Cuerpo: { tipo: ""Otro"", severidad: Media, titulo: ""X"", descripcion: ""Y"" }",,Not executed,"TU-003, TU-014"
EP-CU08-03,CU-08 Solicitud servicio,Solicitud baja severidad no dispara escalamiento,medium,medium,Borde,"Ambiente ENT-004 staging; TKT-0200 Solicitud Baja creada hace 24h sin actividad nivel=L1; job sla-escalation-job listo","1. Disparar job | 2. GET /tickets/TKT-0200 | 3. GET /tickets/TKT-0200/history","nivel=L1 sin cambios; sin evento ESCALATED posterior; logs del job muestran TKT-0200 con razón SKIPPED: type=Solicitud (no SLA)","Registrar en Qase; mantener ticket para próximos runs","Trigger manual del job",,Not executed,TI-104 (extensión funcional)
